p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.81170130085942	0.805	0.364	0	0	Pim3
0	1.35472887803709	0.834	0.403	0	0	Hspb1
0	1.49708005161055	0.729	0.335	0	0	Plaur
0	1.25272466930727	0.776	0.391	0	0	Csrnp1
0	1.05148477480302	0.973	0.605	0	0	Anxa3
0	0.895671622627268	0.974	0.607	0	0	S100a6
0	1.2302056151502	0.844	0.482	0	0	Bhlhe40
0	1.19637493892772	0.594	0.243	0	0	Scand1
0	1.27755427612809	0.67	0.327	0	0	Klf10
0	1.34117598737172	0.845	0.507	0	0	Nr4a1
0	1.51860466065808	0.792	0.485	0	0	Socs3
0	1.10350704980664	0.878	0.615	0	0	Bcam
0	1.16096258379641	0.923	0.675	0	0	Hbegf
0	1.00515544072556	0.909	0.665	0	0	Ifrd1
0	1.05246725602245	0.929	0.796	0	0	Gas6
0	1.14287230994279	0.984	0.859	0	0	Dusp1
0	0.866779540298958	0.99	0.897	0	0	Zfp36
0	0.886601451609496	0.99	0.908	0	0	Epcam
0	1.18168282349007	0.998	0.931	0	0	Atf3
0	0.753201005758449	0.998	0.948	0	0	S100a10
0	0.825342076132053	0.99	0.949	0	0	Klf6
0	0.831083235461465	0.996	0.965	0	0	Krt19
0	0.773801334905409	0.996	0.966	0	0	Btg2
0	0.547281976702026	0.999	0.979	0	0	Egr1
0	0.84634696122653	0.999	0.982	0	0	Fos
0	0.997083295003935	1	0.987	0	0	Junb
0	0.920547917195719	0.999	0.99	0	0	Jun
0	0.684381667301867	1	0.992	0	0	Ier2
0	0.510217666242398	1	0.999	0	0	Actg1
7.14938691836533e-301	0.347887920092464	1	0.999	1.24956984559189e-296	0	Ptma
6.1411987248628e-290	0.968130145123438	0.738	0.421	1.07335871313152e-285	0	Bgn
7.19639440298899e-285	0.660610353513182	0.972	0.883	1.25778581375441e-280	0	Ezr
3.65401423422711e-284	0.834525114332	0.85	0.567	6.38648607858214e-280	0	Cxcl16
6.28300349604354e-278	0.911857744710294	0.825	0.555	1.09814335103849e-273	0	Cldn4
2.45709969696883e-277	0.672579996175729	0.949	0.799	4.29451885036212e-273	0	Jund
5.66198613399226e-277	0.853609527433914	0.77	0.452	9.89601936499167e-273	0	Fbln2
2.16682862868587e-273	0.815524527460915	0.951	0.813	3.78718307721716e-269	0	Fosb
1.20344546081597e-269	0.727085487439298	0.964	0.885	2.10338197641415e-265	0	Rhob
2.57785352980142e-267	1.13730187480856	0.545	0.255	4.50557239938692e-263	0	Igfbp7
5.37111034534306e-263	0.963784096135181	0.672	0.368	9.38762666159059e-259	0	Ldhb
4.32896157729362e-259	0.960614533028191	0.635	0.332	7.56615904479379e-255	0	2200002D01Rik
5.54895755017883e-259	1.2007004025739	0.691	0.386	9.69846800620256e-255	0	Sfn
3.99810634738893e-258	0.834108711448949	0.833	0.597	6.98789027396638e-254	0	Ccnl1
3.07857054234161e-257	1.64230204959909	0.376	0.141	5.38072559390467e-253	0	Clic3
1.2867642650069e-256	0.802640617228763	0.72	0.401	2.24900658237906e-252	0	Icam1
5.13691482628085e-252	0.88594261546818	0.72	0.416	8.97829973337367e-248	0	Pdlim4
2.73587366670358e-251	0.671940031841857	0.919	0.74	4.78175999466452e-247	0	Eif5
5.57205312220587e-245	0.674207504465189	0.843	0.556	9.73883444699142e-241	0	Tspan8
2.41377864837756e-241	1.04524682960496	0.602	0.324	4.2188023216343e-237	0	Imp3
7.77810478545711e-240	0.901212766289542	0.755	0.479	1.35945715440219e-235	0	Mal
1.71214364753902e-238	1.03933468595784	0.594	0.318	2.9924846671687e-234	0	Marc2
5.59543677782529e-237	0.89272205187208	0.614	0.315	9.77970440028304e-233	0	Serpinb1a
5.8943256141328e-237	0.958069759756432	0.622	0.329	1.03021023083813e-232	0	Tacstd2
1.74038104510975e-233	0.753483377952609	0.852	0.645	3.04183799064282e-229	0	Sertad1
6.29158737940609e-233	0.465747977563344	1	0.999	1.0996436421726e-228	0	Ubc
7.12478369473528e-233	0.83729503281274	0.827	0.621	1.24526969416583e-228	0	Tsc22d3
4.84510895000835e-228	0.410088786406877	1	0.999	8.4682814228246e-224	0	H3f3b
8.81313566232011e-228	0.885090376135795	0.874	0.688	1.54035985106031e-223	0	Cd14
3.19310896900617e-222	1.15336226424488	0.58	0.333	5.58091585602899e-218	0	Nr1d1
4.72596058286003e-222	0.582756290643715	0.956	0.848	8.26003390672276e-218	0	Cd2ap
1.96888362399428e-217	1.02106885944958	0.563	0.3	3.44121479801721e-213	0	Bri3
6.10997829116692e-209	1.61077071378224	0.292	0.103	1.06790200573015e-204	0	Uap1l1
2.24589457685405e-208	0.793899008754439	0.745	0.475	3.9253745414255e-204	0	Pah
2.43999607527328e-208	1.22408905294648	0.461	0.223	4.26462514036264e-204	0	Ndrg1
3.72146522209296e-206	0.875945485998468	0.674	0.416	6.50437691517407e-202	0	Rras
3.6578207418262e-204	0.940989014601468	0.609	0.35	6.39313909256384e-200	0	Gm26532
5.69351282699665e-202	0.897464943914336	0.718	0.488	9.95112171902475e-198	0	Efhd2
8.71992679545324e-201	0.791366643515509	0.879	0.747	1.52406880530932e-196	0	Hes1
4.44535845813232e-199	0.898669908940873	0.626	0.368	7.76959751312368e-195	0	Skil
1.14246050907548e-196	0.526237067513222	0.984	0.96	1.99679247776213e-192	0	Anxa2
4.81698914544297e-193	0.88140886140006	0.63	0.382	8.41913362840522e-189	0	Fdx1
1.81289739801759e-191	0.911231697380478	0.592	0.341	3.16858207225514e-187	0	Eid1
6.6600037121372e-191	0.760793747479779	0.677	0.403	1.16403544880734e-186	0	Klf5
1.71734484467313e-190	0.96032934866345	0.745	0.543	3.00157531951969e-186	0	Elf3
1.56422516373161e-189	0.634561838617559	0.839	0.647	2.73395274117011e-185	0	Rsrp1
