p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.1422581507909	0.911	0.2	0	S_small	Clps
0	3.47015013794557	0.861	0.164	0	S_small	Ctrb1
0	3.33742336446546	0.803	0.139	0	S_small	Prss2
0	3.37508244984155	0.801	0.139	0	S_small	2210010C04Rik
0	3.89831534390906	0.762	0.105	0	S_small	Cela2a
0	3.38527598272456	0.754	0.122	0	S_small	Cela3b
0	4.00939086422626	0.718	0.098	0	S_small	Try4
0	3.44445740311247	0.71	0.104	0	S_small	Cpa1
0	1.989230818261	0.837	0.236	0	S_small	Pigr
0	3.62042939838733	0.688	0.09	0	S_small	Ctrc
0	3.6388160403281	0.669	0.091	0	S_small	Pnlip
0	2.09239770591606	0.87	0.294	0	S_small	Cbs
0	3.37827793562013	0.682	0.109	0	S_small	Sycn
0	3.13060595542814	0.646	0.105	0	S_small	Rnase1
0	2.35110390896396	0.686	0.154	0	S_small	1700049E15Rik
0	2.66794603276792	0.674	0.147	0	S_small	Wfdc3
0	3.3804238401143	0.596	0.084	0	S_small	Zg16
0	2.33154424285265	0.768	0.266	0	S_small	Gmnn
0	4.07571818637201	0.541	0.055	0	S_small	Try5
0	3.24974500642481	0.566	0.084	0	S_small	Ctrl
0	1.79258497260696	0.742	0.261	0	S_small	Ecscr
0	1.87655405457039	0.991	0.545	0	S_small	Cldn10
0	1.66223056808593	0.984	0.543	0	S_small	Ambp
0	1.99422564780361	0.725	0.292	0	S_small	Hilpda
0	2.60756969317315	0.764	0.34	0	S_small	Cela1
0	1.71828074454189	0.82	0.408	0	S_small	Qsox1
0	1.25247112526505	0.863	0.451	0	S_small	Krt23
0	3.38159075174501	0.466	0.059	0	S_small	Cpb1
0	1.7794831709142	0.601	0.198	0	S_small	5330417C22Rik
0	1.44604557803011	0.799	0.404	0	S_small	Slc28a3
0	1.48220197668497	0.756	0.37	0	S_small	Ncald
0	1.50398613705418	0.669	0.287	0	S_small	Apoc1
0	1.66963954440218	0.599	0.217	0	S_small	Angptl1
0	3.28344101372758	0.431	0.055	0	S_small	Reg1
0	1.42845292855317	0.83	0.454	0	S_small	Cat
0	2.0030460378798	0.514	0.142	0	S_small	Rgs5
0	1.84606348241645	0.929	0.566	0	S_small	Ccnd1
0	1.33231732900383	0.751	0.393	0	S_small	Gpx2
0	1.72088990549537	0.897	0.543	0	S_small	Degs1
0	3.33460712477188	0.407	0.053	0	S_small	Pla2g1b
0	1.86796833968664	0.582	0.23	0	S_small	Aldoc
0	1.90881424263391	0.482	0.14	0	S_small	Gucy1a1
0	2.08447663768888	0.454	0.113	0	S_small	Fmo1
0	1.41005055231704	0.992	0.666	0	S_small	Ces1d
0	1.52300535038111	0.553	0.233	0	S_small	Clec2d
0	1.69430939073498	0.446	0.126	0	S_small	3110079O15Rik
0	2.19696153211993	0.418	0.1	0	S_small	Aldh1l1
0	1.72320673764501	0.482	0.167	0	S_small	Tspan12
0	1.27004884204213	0.616	0.303	0	S_small	Mme
0	1.53308799579645	0.501	0.191	0	S_small	Alb
0	1.36901155644388	0.821	0.517	0	S_small	Oat
0	1.32194444733895	0.772	0.469	0	S_small	Rhoj
0	1.13828633069678	0.55	0.249	0	S_small	Sgk1
0	1.74946735923299	0.432	0.131	0	S_small	Egflam
0	1.6232647721718	0.477	0.178	0	S_small	Cftr
0	1.16411478385202	0.504	0.213	0	S_small	Cxcl12
0	1.46261763192478	0.433	0.143	0	S_small	Rhov
0	0.883688727037958	0.71	0.424	0	S_small	Prox1
0	1.14634050245952	0.608	0.326	0	S_small	Tnfaip8
0	1.68502911107395	0.446	0.165	0	S_small	Gstm7
0	3.50925652058031	0.309	0.034	0	S_small	Cel
0	1.99609402262008	0.381	0.107	0	S_small	Gas2
0	1.2744156208697	0.846	0.572	0	S_small	Ddt
0	1.18040299420992	0.561	0.288	0	S_small	Nav2
0	0.871542679698426	0.806	0.543	0	S_small	Cald1
0	1.0929269993543	0.773	0.514	0	S_small	Hpn
0	3.38501971356318	0.287	0.031	0	S_small	Pnliprp1
0	2.28657371816997	0.319	0.071	0	S_small	Slc22a2
0	1.23281931003715	0.845	0.6	0	S_small	Sult1a1
0	0.968399216422228	0.805	0.563	0	S_small	Reep5
0	1.01997190096371	0.912	0.67	0	S_small	Selenom
0	3.46597212258522	0.266	0.028	0	S_small	Cpa2
0	1.87657482773084	0.338	0.101	0	S_small	Abcg2
0	1.09168870397197	0.879	0.642	0	S_small	Gstt1
0	1.57429938520177	0.357	0.121	0	S_small	Nr0b2
0	1.01185147254499	0.923	0.713	0	S_small	Gstm1
0	2.28691284824745	0.263	0.055	0	S_small	Pbld1
0	1.89162352810097	0.275	0.069	0	S_small	Stat4
0	0.966137717935792	0.958	0.758	0	S_small	Adk
0	0.949162001259061	0.855	0.655	0	S_small	Sec11c
0	1.02654492077999	0.998	0.814	0	S_small	Apoe
0	0.838187511981326	0.849	0.673	0	S_small	Tmem205
0	0.739091955650616	0.907	0.761	0	S_small	Rpp25l
0	1.00905820242439	0.962	0.821	0	S_small	Eno1
0	0.649198450352492	0.973	0.845	0	S_small	Alcam
0	0.69181927355712	0.972	0.85	0	S_small	Tmem45a
0	0.765566108360495	0.926	0.813	0	S_small	Tkt
0	0.624864585564403	0.95	0.848	0	S_small	Snhg18
0	0.627579860492399	0.928	0.828	0	S_small	Lamtor2
0	0.76310031794989	0.99	0.892	0	S_small	Tstd1
0	0.908366715718149	0.99	0.908	0	S_small	Sptssa
0	0.562643788263288	0.969	0.903	0	S_small	Psmb6
0	0.741459694480867	0.995	0.931	0	S_small	Dcdc2a
0	0.648754881956156	0.99	0.93	0	S_small	Aplp2
0	0.60563413851178	0.99	0.932	0	S_small	Cd9
0	0.553281867806041	0.971	0.914	0	S_small	Ndufa7
0	0.520971228461758	0.977	0.927	0	S_small	Atp5c1
0	0.504015289123476	0.981	0.936	0	S_small	Ndufb9
0	0.587646576767997	0.995	0.954	0	S_small	Cst3
0	0.492723954699891	0.986	0.95	0	S_small	Selenow
0	0.482736020462431	0.991	0.959	0	S_small	Mpc2
0	0.470411173253805	0.987	0.959	0	S_small	Uqcrb
0	0.528401091187539	0.991	0.964	0	S_small	Ndufa13
0	0.961873842576838	0.998	0.982	0	S_small	Pebp1
0	0.447714906986854	0.997	0.983	0	S_small	Mgst1
0	0.481825415130923	0.995	0.981	0	S_small	Atp5b
0	0.427612686345751	0.994	0.98	0	S_small	Ppib
0	0.575744625073543	0.999	0.987	0	S_small	Atp5e
0	0.450535626872827	0.997	0.986	0	S_small	Atp5h
0	0.474960203241559	0.997	0.987	0	S_small	Ndufa4
0	0.418030437314126	0.997	0.987	0	S_small	Hint1
0	0.556423286855103	0.998	0.989	0	S_small	Tm4sf4
0	0.501329638561352	0.998	0.992	0	S_small	Tmem176a
0	0.502352470803558	0.998	0.992	0	S_small	Gpx4
0	0.868709051926777	0.998	0.999	0	S_small	Dbi
0	1.34349094643804	0.997	0.998	0	S_small	Spp1
0	0.427916832878831	0.999	0.998	0	S_small	Bsg
0	0.577001776165611	0.998	0.999	0	S_small	Itm2b
0	0.714100328155705	0.999	1	0	S_small	Fth1
0	0.379454135918491	0.998	0.998	0	S_small	Oaz1
0	0.340436298046783	0.999	0.999	0	S_small	Cox4i1
6.56143664094731e-308	1.02382969341007	0.654	0.398	1.14680789610477e-303	S_small	9130008F23Rik
1.16289878055119e-305	0.418097761162233	0.995	0.978	2.03251448864736e-301	S_small	Prdx2
9.98716726786248e-303	0.76404544953605	0.829	0.66	1.745557095077e-298	S_small	Gstm5
4.39367253168154e-301	0.551479940541881	0.955	0.887	7.67926085087299e-297	S_small	Atp5o.1
3.73124212636718e-300	0.97119367700713	0.722	0.477	6.52146498846456e-296	S_small	Lgals1
3.39125729072659e-298	1.61996024079262	0.336	0.119	5.92723949273194e-294	S_small	Fads2
9.14633814906005e-296	0.730291852178282	0.818	0.565	1.59859698169272e-291	S_small	Fxyd1
7.89616684844321e-294	0.834823031915318	0.779	0.587	1.3800920417709e-289	S_small	Rnaseh2c
1.80426010499096e-291	0.347066372963023	0.998	0.997	3.1534858115032e-287	S_small	Cox8a
1.7930748634725e-288	1.58321665515387	0.312	0.105	3.13393624637724e-284	S_small	Lbh
4.26396305580582e-287	1.43285018470876	0.327	0.113	7.45255462893741e-283	S_small	1700029F12Rik
1.51054873025578e-282	0.416273207661206	0.991	0.972	2.64013707074105e-278	S_small	Atp5d
7.78681554418986e-282	0.990890341119233	0.621	0.363	1.3609796208135e-277	S_small	Car8
2.09957303221822e-277	0.760773519411976	0.802	0.633	3.66963374571101e-273	S_small	1810058I24Rik
2.26235147545691e-276	0.552080885983404	0.936	0.852	3.95413790880358e-272	S_small	Ndufb8
3.94472887891352e-274	0.391685743530306	0.993	0.978	6.89459713456506e-270	S_small	Cox6b1
5.48740419886653e-274	0.894296836245657	0.736	0.534	9.59088505877893e-270	S_small	Ctsh
3.93850545607898e-273	0.983863597051004	0.655	0.427	6.88371983613484e-269	S_small	Cd59a
1.57807935072888e-272	1.7635874051061	0.285	0.094	2.75816708920395e-268	S_small	Tmem97
2.83262513985197e-271	0.534888087986788	0.939	0.867	4.95086221943327e-267	S_small	Swi5
2.65419837419294e-270	0.395795102308493	0.994	0.98	4.63900791841443e-266	S_small	Elob
2.03444450562157e-269	0.417101728969477	0.989	0.966	3.55580210692537e-265	S_small	Tmem59
5.37725551299801e-269	0.844437937218491	0.729	0.524	9.39836718561792e-265	S_small	Il11ra1
8.24350865947632e-266	0.306614385279622	0.999	0.998	1.44080044350327e-261	S_small	Serf2
4.92934531408915e-264	1.75190832117728	0.256	0.078	8.61550973996501e-260	S_small	Etv1
8.13000254247182e-264	1.13610463194056	0.5	0.258	1.42096184437323e-259	S_small	Bche
6.35046568147144e-263	0.572962200664039	0.918	0.795	1.10993439180758e-258	S_small	Sat1
9.99774831330794e-262	1.41132614432391	0.371	0.155	1.74740645019996e-257	S_small	Apcs
1.51992400475608e-257	1.29420983514437	0.423	0.196	2.65652317551267e-253	S_small	Cfi
1.20943290896136e-255	1.64699866440965	0.295	0.105	2.11384683828267e-251	S_small	Akr1c19
4.29088449888277e-254	1.59636685669922	0.313	0.118	7.49960792714731e-250	S_small	Mical2
1.83876196109424e-249	1.10726139179652	0.485	0.25	3.21378815560052e-245	S_small	Myo1b
2.21393812114582e-247	0.46188927956662	0.964	0.917	3.86952104813866e-243	S_small	Ndufb11
7.84708525973483e-247	1.09330497399181	0.47	0.234	1.37151356169645e-242	S_small	Wfdc15b
1.67253684922665e-246	0.559466066404748	0.909	0.816	2.92325990507834e-242	S_small	Ndufa11
3.78019735354854e-246	0.461671895883004	0.97	0.814	6.60702893453215e-242	S_small	Fmo2
9.19017020274517e-245	1.38885735434635	0.394	0.181	1.6062579480358e-240	S_small	Ccdc148
3.05582679181109e-243	0.533359717145457	0.921	0.836	5.34097406672742e-239	S_small	Ssr4
1.2335712929728e-241	0.295384048896028	0.998	0.998	2.15603590585786e-237	S_small	Cldn3
1.82988615436103e-241	1.17614435462516	0.425	0.2	3.19827502059221e-237	S_small	Gm609
1.25024857831818e-240	0.283324082575328	0.998	0.999	2.18518446518451e-236	S_small	Naca
