Gene	P value	Adjusted P value	Log2 Fold Change	Cluster
S100A12	2.225074E-308	2.225074E-308	1.535207051	S100A12+
CDA	2.225074E-308	2.225074E-308	1.033716007	S100A12+
TSPO	2.225074E-308	2.225074E-308	1.024586588	S100A12+
TXN	2.225074E-308	2.225074E-308	0.996538465	S100A12+
S100A6	2.225074E-308	2.225074E-308	0.950360592	S100A12+
S100A4	2.225074E-308	2.225074E-308	0.833958875	S100A12+
S100P	2.225074E-308	2.225074E-308	0.831725987	S100A12+
OAZ1	2.225074E-308	2.225074E-308	0.769509801	S100A12+
CMTM2	2.225074E-308	2.225074E-308	0.727989135	S100A12+
LST1	2.225074E-308	2.225074E-308	0.72429561	S100A12+
LAMTOR4	2.225074E-308	2.225074E-308	0.713284717	S100A12+
S100A8	2.225074E-308	2.225074E-308	0.653155922	S100A12+
TYROBP	2.225074E-308	2.225074E-308	0.652966316	S100A12+
SH3BGRL3	2.225074E-308	2.225074E-308	0.624352303	S100A12+
S100A9	2.225074E-308	2.225074E-308	0.580098998	S100A12+
ATP5F1E	2.225074E-308	2.225074E-308	0.57347048	S100A12+
CYBA	2.225074E-308	2.225074E-308	0.544586266	S100A12+
NCF1	2.225074E-308	2.225074E-308	0.543126805	S100A12+
MYL6	2.225074E-308	2.225074E-308	0.541001554	S100A12+
S100A11	2.225074E-308	2.225074E-308	0.531500669	S100A12+
ALOX5AP	2.225074E-308	2.225074E-308	0.523999201	S100A12+
ANP32A	2.225074E-308	2.225074E-308	0.507918215	S100A12+
BCL2A1	2.225074E-308	2.225074E-308	0.442553396	S100A12+
ACTB	2.225074E-308	2.225074E-308	0.431195873	S100A12+
H3F3A	2.225074E-308	2.225074E-308	0.385968904	S100A12+
IFITM2	2.225074E-308	2.225074E-308	0.259005331	S100A12+
SERF2	1.56E-303	3.95E-299	0.728779173	S100A12+
GMFG	3.33E-288	8.46E-284	0.603506053	S100A12+
CST7	6.31E-274	1.60E-269	1.020795105	S100A12+
RBP7	1.03E-267	2.61E-263	1.213061734	S100A12+
MMP9	8.70E-256	2.21E-251	1.217898095	S100A12+
EIF1	4.22E-255	1.07E-250	0.344590395	S100A12+
PFN1	1.37E-247	3.49E-243	0.528907441	S100A12+
GABARAP	3.08E-220	7.82E-216	0.616952151	S100A12+
ELOB	8.08E-210	2.05E-205	0.929222504	S100A12+
CKLF	6.10E-199	1.55E-194	0.719177728	S100A12+
HMGB2	2.02E-192	5.13E-188	0.761669581	S100A12+
PGLYRP1	6.88E-173	1.75E-168	1.102617923	S100A12+
USP10	5.34E-170	1.36E-165	0.830685536	S100A12+
FCN1	1.84E-168	4.68E-164	1.034958576	S100A12+
ITM2B	1.39E-162	3.54E-158	0.259024968	S100A12+
VIM	1.06E-155	2.68E-151	0.495693771	S100A12+
TMEM91	1.02E-153	2.60E-149	1.042973159	S100A12+
