Gene ID	5 STIM clusters
HORMAD2-AS1	Immune Classical
LOC101929089	Immune Classical
DCXR	Immune Classical
KHK	Immune Classical
APOM	Immune Classical
SORD	Immune Classical
ACADSB	Immune Classical
APOC1	Immune Classical
SLC27A5	Immune Classical
TTR	Immune Classical
LRG1	Immune Classical
PCK2	Immune Classical
RBP5	Immune Classical
AMDHD1	Immune Classical
NR1I3	Immune Classical
AKR1C4	Immune Classical
MIR4751	Immune Classical
GLS2	Immune Classical
KDM8	Immune Classical
RCL1	Immune Classical
CNDP1	Immune Classical
APOC1P1	Immune Classical
CFL2	Immune Classical
CYP39A1	Immune Classical
FOLH1B	Immune Classical
LEAP2	Immune Classical
GNMT	Immune Classical
ACOX2	Immune Classical
A1BG-AS1	Immune Classical
CYP27A1	Immune Classical
RDH16	Immune Classical
CYB5A	Immune Classical
GSTA2	Immune Classical
DHODH	Immune Classical
HSD17B6	Immune Classical
LINC01146	Immune Classical
ATF5	Immune Classical
PIPOX	Immune Classical
FXYD1	Immune Classical
TTC36	Immune Classical
APOC4-APOC2	Immune Classical
PRG4	Immune Classical
HAAO	Immune Classical
ACSM5	Immune Classical
APOC2	Immune Classical
LEPR	Immune Classical
GCDH	Immune Classical
ABHD6	Immune Classical
CYP2J2	Immune Classical
ACSL1	Immune Classical
SAA4	Immune Classical
TDO2	Immune Classical
CFHR1	Immune Classical
TF	Immune Classical
SRD5A2	Immune Classical
ARID3C	Immune Classical
C2-AS1	Immune Classical
EHHADH	Immune Classical
LY75-CD302	Immune Classical
CETP	Immune Classical
LOC100507053	Immune Classical
GLTPD2	Immune Classical
ZG16	Immune Classical
CD302	Immune Classical
HPR	Immune Classical
NADK2	Immune Classical
DIO1	Immune Classical
GPLD1	Immune Classical
PHYH	Immune Classical
RGN	Immune Classical
UROC1	Immune Classical
CGREF1	Immune Classical
CAT	Immune Classical
UGT2B7	Immune Classical
AHSG	Immune Classical
AQP9	Immune Classical
MAT1A	Immune Classical
FMO3	Immune Classical
SLC22A1	Immune Classical
SHBG	Immune Classical
MASP2	Immune Classical
MT1X	Immune Classical
KLKB1	Immune Classical
LINC01093	Immune Classical
HMGCL	Immune Classical
DMGDH	Immune Classical
LINC00238	Immune Classical
GSTA1	Immune Classical
A1BG	Immune Classical
PLA2G12B	Immune Classical
APOH	Immune Classical
HAL	Immune Classical
AZGP1	Immune Classical
ALDH8A1	Immune Classical
SLC51A	Immune Classical
SLC38A4	Immune Classical
LOC645434	Immune Classical
ADI1	Immune Classical
USH2A	Immune Classical
NBPF13P	Immune Classical
CTHRC1	Inflammatory Stroma
POSTN	Inflammatory Stroma
PPAPDC3	Inflammatory Stroma
FAM198B	Inflammatory Stroma
