symbol	factor	F1_Liver	F2	F3_Exocrine	F4_CellCycle	F5_ActivatedStroma	F6_BasalLike	F7_Immune	F8_Classical	F9_Lung	F10	F11_Muscle	F12_Endocrine	F13_NormalStroma	F14
A1BG	1	2.2902	0.6715	0.2556	0.1989	0.3452	0.2407	0.5922	0.0117	0.3874	0.6155	0.2146	0.5753	0.5057	0.5631
A1CF	1	2.4667	0.3832	0.7035	0.1623	0	0	0	0.8683	0	0.01	0.1797	1.2717	0	0.522
A2BP1	11	0.0277	0.0458	0.0151	0.0929	0	0.0374	0.0634	0.1229	0	0.4276	2.103	0.1727	0	0.4462
A2LD1	3	0.9535	0	1.6196	1.1016	0.8498	0.65	0.505	0.8071	0.3074	0	0.5338	0.1838	0.5996	0.6152
A2M	13	2.7194	1.2807	1.2425	0	2.9031	0	2.1422	1.008	2.9688	1.5801	1.6193	1.9917	2.9712	1.0554
A2ML1	2	0.7951	1.6077	1.118	0.4886	0.1497	0.8342	0.5812	0.4124	0.5007	1.4971	0.6205	0.3305	0.5447	0.533
A3GALT2	14	0.113	0.2848	0	0.0657	0.1442	0.1244	0.0982	0.1918	0.1486	0.0306	0.1517	0.1429	0.0439	0.4517
A4GALT	10	0.3559	0.9168	0	0	0.7792	1.1887	0.4593	0.0663	0.6692	1.5644	0.8104	0.1704	1.2419	0.6047
A4GNT	12	0.3701	0.0813	0.5593	0.0677	0.0273	0	0.1046	0.8195	0.3571	0	0.1203	0.8874	0	0.213
AAAS	14	0.4467	1.162	0.6564	0.63	0.2043	0.5168	0.535	0.6402	0.5511	0.6118	0.63	0.6405	0.3607	1.2932
AACS	12	0.401	0.7692	0.774	1.0799	0.6277	0.7956	0.5099	1.2204	0.696	0.6444	0.702	1.3657	0.5567	0.934
AADAC	1	2.8522	0	1.7217	0.6547	0	0.2775	0	2.0551	0.4575	0	0.0234	0	0.0158	0
AADACL1	4	0.5617	0.8479	0.6781	1.8582	1.5304	1.076	0.8589	0.9724	1.0577	1.0986	0.5277	1.373	0	0.4884
AADACL2	13	0.1346	0.0956	0.0385	0.1913	0.0945	0.107	0.0625	0.0536	0.242	0.0109	0.1121	0	0.3377	0.2445
AADAT	1	1.0726	0	0.6219	1.0219	0.4465	0.2375	0.0558	0.1309	0.4795	0.2711	0.2606	0.6847	0.6399	0.246
AAK1	2	0.2048	0.6771	0.0836	0.1834	0.1789	0.1956	0.0889	0.3026	0.1572	0.179	0.24	0.2469	0.0865	0.4201
AAMP	14	0.6467	1.2707	0.7526	1.0288	0.8804	0.8859	0.6997	1.2943	0.8351	0.3043	1.0813	0.9827	0.8343	1.5573
AANAT	14	0.462	1.2145	0.4584	0.1354	0.277	0.2898	0.3071	0.4455	0.4456	0.3312	0.5419	0.4456	0.1386	1.8922
AARS	2	0.5964	1.0282	0.6473	0.9955	0.5181	0.6048	0.5049	0.5218	0.6157	0.3229	0.8791	0.583	0.5107	0.7685
AARS2	10	0.8156	0.3036	0.6397	0.9983	0.5803	0.7233	0.914	0.6776	0.5558	1.1774	0.5943	0.7199	0.6883	1.0846
AARSD1	11	0.3405	0.5207	0.3583	0.6234	0.219	0.4386	0.2874	0.4357	0.2983	0.4975	1.5614	0.4089	0.6946	0.6633
AASDH	4	0.3932	0.3822	0.3553	0.5872	0.1709	0.3491	0.3755	0.1411	0.2902	0.3803	0.3033	0.3761	0.3584	0
AASDHPPT	4	0.9286	0.7139	1.1405	1.5947	0.6742	0.8236	0.7575	0.3222	0.7056	0.3618	1.0256	0.7913	0.8261	0.6934
AASS	1	1.1428	0	0.8884	0.8533	0.7333	0.1371	0.2371	0	0.627	0.4059	0.5064	0.1536	1.0575	0
AATF	14	0.5901	1.1687	0.6719	1.1719	0.9073	1.0923	0.7864	0.8753	0.7919	0.7952	1.1341	0.815	0.7998	1.3779
AATK	10	0.2459	0.742	0.8309	0.194	0.0811	0.2218	0.449	0.9698	0.8577	1.175	0.2519	0.3673	0.7515	0.8711
ABAT	1	2.3643	0.3014	1.5136	0.4576	0	0.0881	0.2714	0.7868	0.3967	0.2566	0.2047	1.2308	0.6981	0.3607
ABCA1	1	0.9839	0.4753	0.1569	0.3328	0.6848	0.3179	0.4384	0.1644	0.4165	0.0012	0.3978	0.0488	0.4661	0
ABCA10	4	0	0	0.4412	0.7932	0	0.3995	0.176	0.0213	0.0219	0	0.2537	0.3503	0.5149	0
ABCA11P	4	0	0	0.7074	1.0406	0.1047	0.5403	0.3521	0.0952	0.1464	0.1787	0.4426	0.6005	0.7554	0
ABCA12	6	0.0789	0	0.0372	0.324	0.0763	0.8533	0.0198	0.229	0.0439	0	0.1597	0.143	0.0627	0.0772
ABCA13	9	0.2296	0	0.3861	0.4379	0.0308	0.685	0	0.1545	0.8878	0	0	0.0901	0	0
ABCA17P	11	0.1598	0.2707	0.4263	0.2859	0.027	0.2873	0.3423	0	0.3031	0.5696	1.0236	0.7132	0.4675	0.1477
ABCA2	2	0.1787	0.6991	0.0719	0.2606	0.1732	0.2699	0.2645	0.2673	0.2075	0.2799	0.2958	0.5623	0.1826	0.5594
ABCA3	9	0.1184	0.6534	0.6472	0.6664	0	0	0.3987	0.3161	2.536	0.9977	0.601	1.6324	0.9682	0.7429
ABCA4	6	0.3999	0.0403	0.0441	0.1991	0.0639	0.4691	0.277	0.0215	0.189	0.1474	0.2403	0	0.4053	0
ABCA5	3	1.5155	0	1.8567	0.6869	0	0.6138	0.9808	0.5219	0.5072	0.8185	1.4011	1.1886	0.7798	0
ABCA6	13	1.4104	0	0.4602	0.0824	0.5577	0.2614	1.0097	0	1.245	0.2216	0.7276	0.5358	2.2041	0
ABCA7	7	0.0604	1.0348	0.1982	0.1076	0	1.1604	1.3553	0.5769	0.6657	1.1549	0.2378	0.701	0.0187	0
ABCA8	13	0.6188	0	0.2931	0	0.1395	0	0.765	0	0.8598	0	0.8344	0.6194	2.5111	0
ABCA9	13	0.7922	0	0.0749	0.0992	0.1116	0	0.2327	0	0.2791	0	0.5119	0.2398	0.9987	0
ABCB1	12	1.0236	0	0.3689	0.2653	0.3425	0	0.5694	0.2894	0.2314	0	0.1495	1.8543	0.7202	0.2979
ABCB10	4	0.4814	0.2401	0.5275	0.8917	0.3269	0.4271	0.4752	0.3098	0.341	0.0509	0.4142	0.3066	0.4241	0.3199
ABCB11	1	1.2697	0.2131	0	0.0782	0	0.1463	0.1013	0.2032	0	0	0.2966	0.159	0	0.3398
ABCB4	1	2.0784	0	0	0.0527	0.0791	0.0725	0.272	0	0	0.1615	0.0064	0.0727	0	0
ABCB5	13	0.0716	0.1572	0.1244	0.0773	0.06	0.1047	0.0942	0.0953	0	0.0916	0.0881	0	0.1982	0.1058
