StableId	Symbol	BioType	Desciption	Chrom	Start	End	Strand	Length	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000154102	C16orf74	protein_coding	chromosome 16 open reading frame 74 [Source:HGNC Symbol;Acc:23362]	16	85741123	85784689	-1	43566	3.542655165	-0.461906515	9.954770432	6.39761E-16	1.15624E-11	25.19358444
ENSG00000147697	GSDMC	protein_coding	gasdermin C [Source:HGNC Symbol;Acc:7151]	8	130760442	130799134	-1	38692	3.362263168	0.4609314	9.648551105	2.68185E-15	2.42345E-11	24.15950254
ENSG00000170915	PAQR8	protein_coding	progestin and adipoQ receptor family member VIII [Source:HGNC Symbol;Acc:15708]	6	52226219	52272575	1	46356	-2.366660545	5.07206018	-9.341673601	1.11562E-14	6.72088E-11	23.0129525
ENSG00000145703	IQGAP2	protein_coding	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:6111]	5	75699074	76003957	1	304883	-1.903717837	6.447268555	-9.104090179	3.35846E-14	1.51744E-10	21.94876986
ENSG00000175984	DENND2C	protein_coding	DENN/MADD domain containing 2C [Source:HGNC Symbol;Acc:24748]	1	115125469	115213043	-1	87574	1.729102797	2.314741112	8.670679368	2.51645E-13	9.09597E-10	19.97156251
ENSG00000148700	ADD3	protein_coding	adducin 3 (gamma) [Source:HGNC Symbol;Acc:245]	10	111756126	111895323	1	139197	-0.967879219	7.351866927	-8.615144434	3.25931E-13	9.81759E-10	19.72596009
ENSG00000162878	PKDCC	protein_coding	protein kinase domain containing. cytoplasmic homolog (mouse) [Source:HGNC Symbol;Acc:25123]	2	42275160	42285668	1	10508	-1.969393219	4.575624136	-8.540102705	4.64003E-13	1.19799E-09	19.38745056
ENSG00000169891	REPS2	protein_coding	RALBP1 associated Eps domain containing 2 [Source:HGNC Symbol;Acc:9963]	X	16964814	17171395	1	206581	-1.61091896	5.491730759	-8.274136764	1.59246E-12	3.59758E-09	18.17998326
ENSG00000090382	LYZ	protein_coding	lysozyme [Source:HGNC Symbol;Acc:6740]	12	69742121	69748014	1	5893	-3.032312436	9.86079409	-8.105093117	3.58213E-12	6.47398E-09	17.39931048
ENSG00000260833	AC124789.1	processed_transcript	None	17	36606638	36608688	-1	2050	3.04133992	-1.353582202	8.172395754	2.55404E-12	5.12879E-09	17.16479084
ENSG00000074370	ATP2A3	protein_coding	ATPase. Ca++ transporting. ubiquitous [Source:HGNC Symbol;Acc:813]	17	3827169	3867736	-1	40567	-2.109293392	5.292471817	-8.027433714	5.06933E-12	8.32891E-09	17.05905861
