StableId	Symbol	BioType	Desciption	Chrom	Start	End	Strand	Length	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000170476	MZB1	protein_coding	marginal zone B and B1 cell-specific protein [Source:HGNC Symbol;Acc:30125]	5	138723169	138725770	-1	2601	3.267336963	0.847907492	11.61579128	3.2007E-19	5.78462E-15	33.22056216
ENSG00000211956	IGHV4-34	IG_V_gene	immunoglobulin heavy variable 4-34 [Source:HGNC Symbol;Acc:5650]	14	106829594	106830076	-1	482	3.932874071	0.414198534	10.0027391	5.31831E-16	2.55674E-12	25.97401954
ENSG00000243290	IGKV1-12	IG_V_gene	immunoglobulin kappa variable 1-12 [Source:HGNC Symbol;Acc:5730]	2	89339721	89340242	-1	521	3.8233212	0.669645736	9.989867081	5.6587E-16	2.55674E-12	25.92986387
ENSG00000211964	IGHV3-48	IG_V_gene	immunoglobulin heavy variable 3-48 [Source:HGNC Symbol;Acc:5606]	14	106993814	106994346	-1	532	3.425514047	1.231119861	9.915073483	7.99841E-16	2.72724E-12	25.6077535
ENSG00000211966	IGHV5-51	IG_V_gene	immunoglobulin heavy variable 5-51 [Source:HGNC Symbol;Acc:5659]	14	107034729	107035221	-1	492	3.755382129	1.587467028	9.889874922	9.05407E-16	2.72724E-12	25.48640039
ENSG00000048462	TNFRSF17	protein_coding	tumor necrosis factor receptor superfamily. member 17 [Source:HGNC Symbol;Acc:11913]	16	12058964	12061925	1	2961	3.571200775	-2.494710526	10.0293221	4.568E-16	2.55674E-12	25.30253891
ENSG00000211666	IGLV2-14	IG_V_gene	immunoglobulin lambda variable 2-14 [Source:HGNC Symbol;Acc:5888]	22	23101189	23101707	1	518	3.712566823	2.913108811	9.705324888	2.14399E-15	5.46045E-12	24.60924552
ENSG00000211663	IGLV3-19	IG_V_gene	immunoglobulin lambda variable 3-19 [Source:HGNC Symbol;Acc:5903]	22	23063108	23063630	1	522	3.881752591	1.107327209	9.677963455	2.41706E-15	5.46045E-12	24.52476217
ENSG00000143297	FCRL5	protein_coding	Fc receptor-like 5 [Source:HGNC Symbol;Acc:18508]	1	157483167	157522310	-1	39143	2.653238246	1.022217115	9.597230643	3.40024E-15	6.82807E-12	24.18700354
ENSG00000251546	IGKV1D-39	IG_V_gene	immunoglobulin kappa variable 1D-39 [Source:HGNC Symbol;Acc:5756]	2	89901292	89901791	1	499	3.728346302	3.034018025	9.576761914	3.89387E-15	7.0374E-12	24.01744053
ENSG00000211945	IGHV1-18	IG_V_gene	immunoglobulin heavy variable 1-18 [Source:HGNC Symbol;Acc:5549]	14	106641563	106642056	-1	493	3.842386342	1.503131361	9.540334075	4.58315E-15	7.53011E-12	23.89614387
ENSG00000211974	IGHV2-70	IG_V_gene	immunoglobulin heavy variable 2-70 [Source:HGNC Symbol;Acc:5577]	14	107178820	107179338	-1	518	4.339876265	-0.629433445	9.401925782	8.59079E-15	1.19517E-11	23.16681453
ENSG00000099958	DERL3	protein_coding	derlin 3 [Source:HGNC Symbol;Acc:14236]	22	24176690	24181315	-1	4625	1.832320374	1.914841854	9.371352683	9.71037E-15	1.25354E-11	23.1555255
ENSG00000211942	IGHV3-13	IG_V_gene	immunoglobulin heavy variable 3-13 [Source:HGNC Symbol;Acc:5581]	14	106586137	106586667	-1	530	3.941157642	-1.541198044	9.397516354	8.5969E-15	1.19517E-11	22.96831169
ENSG00000244437	IGKV3-15	IG_V_gene	immunoglobulin kappa variable 3-15 [Source:HGNC Symbol;Acc:5816]	2	89384673	89385283	-1	610	3.944131445	2.284480386	9.337462458	1.18268E-14	1.33491E-11	22.9458154
ENSG00000211967	IGHV3-53	IG_V_gene	immunoglobulin heavy variable 3-53 [Source:HGNC Symbol;Acc:5610]	14	107048672	107049341	-1	669	3.49980219	0.278478545	9.330554116	1.19531E-14	1.33491E-11	22.94009315
ENSG00000211653	IGLV1-40	IG_V_gene	immunoglobulin lambda variable 1-40 [Source:HGNC Symbol;Acc:5877]	22	22764098	22764614	1	516	3.651431101	1.153190842	9.310804565	1.32952E-14	1.33491E-11	22.85650278
ENSG00000211598	IGKV4-1	IG_V_gene	immunoglobulin kappa variable 4-1 [Source:HGNC Symbol;Acc:5834]	2	89184913	89185669	1	756	3.916415484	2.849590088	9.320169199	1.28384E-14	1.33491E-11	22.84745576
ENSG00000211673	IGLV3-1	IG_V_gene	immunoglobulin lambda variable 3-1 [Source:HGNC Symbol;Acc:5896]	22	23222886	23223576	1	690	3.814785437	1.274770404	9.279204488	1.54157E-14	1.39304E-11	22.71030975
ENSG00000211965	IGHV3-49	IG_V_gene	immunoglobulin heavy variable 3-49 [Source:HGNC Symbol;Acc:5607]	14	107012938	107013477	-1	539	3.723027693	-0.464903543	9.282119383	1.48818E-14	1.39304E-11	22.6590684
ENSG00000211973	IGHV1-69	IG_V_gene	immunoglobulin heavy variable 1-69 [Source:HGNC Symbol;Acc:5558]	14	107169931	107170428	-1	497	3.789402634	1.785712871	9.147365629	2.85949E-14	2.34907E-11	22.09222144
ENSG00000211968	IGHV1-58	IG_V_gene	immunoglobulin heavy variable 1-58 [Source:HGNC Symbol;Acc:5555]	14	107078373	107078869	-1	496	3.898219006	-2.727172798	9.249933378	1.70911E-14	1.47089E-11	21.88581481
ENSG00000241351	IGKV3-11	IG_V_gene	immunoglobulin kappa variable 3-11 [Source:HGNC Symbol;Acc:5815]	2	89326668	89327228	-1	560	3.569851468	2.370788189	9.106346041	3.46014E-14	2.71892E-11	21.88402044
ENSG00000254709	IGLL5	protein_coding	immunoglobulin lambda-like polypeptide 5 [Source:HGNC Symbol;Acc:38476]	22	23229960	23238005	1	8045	3.430891739	2.816134943	9.076127444	3.98197E-14	2.99859E-11	21.72843399
ENSG00000105369	CD79A	protein_coding	CD79a molecule. immunoglobulin-associated alpha [Source:HGNC Symbol;Acc:1698]	19	42381190	42385439	1	4249	2.744877576	0.126489162	9.008404377	5.26499E-14	3.80617E-11	21.4876611
ENSG00000244116	IGKV2-28	IG_V_gene	immunoglobulin kappa variable 2-28 [Source:HGNC Symbol;Acc:5783]	2	89521179	89521942	-1	763	3.64851568	2.306865735	9.004590735	5.55291E-14	3.85991E-11	21.42108621
ENSG00000211637	IGLV4-69	IG_V_gene	immunoglobulin lambda variable 4-69 [Source:HGNC Symbol;Acc:5921]	22	22385332	22385870	1	538	3.654457797	-1.537758601	8.915136902	8.13024E-14	5.44214E-11	20.84651108
ENSG00000242076	IGKV1-33	IG_V_gene	immunoglobulin kappa variable 1-33 [Source:HGNC Symbol;Acc:5737]	2	89567758	89568263	-1	505	3.949502977	2.034199765	8.854376023	1.11711E-13	7.21057E-11	20.74482506
ENSG00000211970	IGHV4-61	IG_V_gene	immunoglobulin heavy variable 4-61 [Source:HGNC Symbol;Acc:5655]	14	107095126	107095662	-1	536	3.282323983	0.732348144	8.829724469	1.23617E-13	7.68013E-11	20.67941398
ENSG00000211660	IGLV2-23	IG_V_gene	immunoglobulin lambda variable 2-23 [Source:HGNC Symbol;Acc:5890]	22	23040274	23040892	1	618	3.487595984	1.713786148	8.824827451	1.27485E-13	7.68013E-11	20.62628473
ENSG00000110777	POU2AF1	protein_coding	POU class 2 associating factor 1 [Source:HGNC Symbol;Acc:9211]	11	111222977	111326355	-1	103378	2.192701531	1.20565237	8.761570507	1.66249E-13	9.40027E-11	20.38717012
