StableId	Symbol	BioType	Desciption	Chrom	Start	End	Strand	Length	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000129007	CALML4	protein_coding	calmodulin-like 4 [Source:HGNC Symbol;Acc:18445]	15	68483043	68498417	-1	15374	1.354702475	4.558267679	6.056238136	3.70146E-08	0.000194605	8.51756418
ENSG00000103056	SMPD3	protein_coding	sphingomyelin phosphodiesterase 3. neutral membrane (neutral sphingomyelinase II) [Source:HGNC Symbol;Acc:14240]	16	68392231	68482591	-1	90360	1.995612312	3.950022752	6.038835688	4.01843E-08	0.000194605	8.438127854
ENSG00000187258	NPSR1	protein_coding	neuropeptide S receptor 1 [Source:HGNC Symbol;Acc:23631]	7	34697851	34917944	1	220093	4.253275643	-0.163552416	6.012054784	4.52693E-08	0.000194605	7.799949225
ENSG00000172367	PDZD3	protein_coding	PDZ domain containing 3 [Source:HGNC Symbol;Acc:19891]	11	119056166	119060932	1	4766	2.821029113	0.307631194	5.970590502	5.38385E-08	0.000194605	7.791450302
ENSG00000168631	DPCR1	protein_coding	diffuse panbronchiolitis critical region 1 [Source:HGNC Symbol;Acc:21666]	6	30908749	30921998	1	13249	4.04009607	4.118570171	5.759936691	1.33312E-07	0.000401559	7.303600533
ENSG00000205611	RP4-610C12.4	lincRNA	None	20	29513582	29521213	-1	7631	2.261568696	-1.905588425	6.012349056	4.45374E-08	0.000194605	6.755310054
ENSG00000144852	NR1I2	protein_coding	nuclear receptor subfamily 1. group I. member 2 [Source:HGNC Symbol;Acc:7968]	3	119499331	119537332	1	38001	2.681041196	2.338011205	5.512711446	3.7779E-07	0.000975399	6.311506617
ENSG00000169994	MYO7B	protein_coding	myosin VIIB [Source:HGNC Symbol;Acc:7607]	2	128293378	128395304	1	101926	2.726353081	3.915285009	5.422123223	5.50769E-07	0.001244255	5.969828374
ENSG00000140474	ULK3	protein_coding	unc-51-like kinase 3 (C. elegans) [Source:HGNC Symbol;Acc:19703]	15	75128457	75135687	-1	7230	0.598459319	3.812777751	5.289225053	9.4336E-07	0.001704934	5.463848601
ENSG00000124205	EDN3	protein_coding	endothelin 3 [Source:HGNC Symbol;Acc:3178]	20	57875482	57901047	1	25565	2.39612513	1.034779266	5.195692677	1.39347E-06	0.002159995	5.029254948
ENSG00000009765	IYD	protein_coding	iodotyrosine deiodinase [Source:HGNC Symbol;Acc:21071]	6	150690028	150727105	1	37077	2.043800516	3.84918838	5.144095336	1.72197E-06	0.002159995	4.89753392
