StableId	Symbol	BioType	Desciption	Chrom	Start	End	Strand	Length	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000219073	CELA3B	protein_coding	chymotrypsin-like elastase family. member 3B [Source:HGNC Symbol;Acc:15945]	1	22303514	22325135	1	21621	8.031323283	0.348728463	14.26907616	3.28497E-24	5.93692E-20	43.90863359
ENSG00000137392	CLPS	protein_coding	colipase. pancreatic [Source:HGNC Symbol;Acc:2085]	6	35762759	35765088	-1	2329	8.175782107	-0.407742004	13.9069519	1.50748E-23	1.36224E-19	42.21391905
ENSG00000168925	CTRB1	protein_coding	chymotrypsinogen B1 [Source:HGNC Symbol;Acc:2521]	16	75252898	75258822	1	5924	8.084236423	1.090265674	13.43371344	1.15393E-22	5.58002E-19	40.6647122
ENSG00000158516	CPA2	protein_coding	carboxypeptidase A2 (pancreatic) [Source:HGNC Symbol;Acc:2297]	7	129906667	129929638	1	22971	8.210221389	1.010025494	13.41793696	1.235E-22	5.58002E-19	40.57859897
ENSG00000091704	CPA1	protein_coding	carboxypeptidase A1 (pancreatic) [Source:HGNC Symbol;Acc:2296]	7	130020180	130027955	1	7775	8.526889706	2.271192547	13.19971116	3.16832E-22	1.14522E-18	39.75151143
ENSG00000138161	CUZD1	protein_coding	CUB and zona pellucida-like domains 1 [Source:HGNC Symbol;Acc:17937]	10	124591665	124639146	-1	47481	5.493955846	1.156632743	13.11544968	4.4519E-22	1.34099E-18	39.51079803
ENSG00000168928	CTRB2	protein_coding	chymotrypsinogen B2 [Source:HGNC Symbol;Acc:2522]	16	75237994	75241083	-1	3089	8.061463822	1.514392012	12.7891282	1.89325E-21	4.2771E-18	38.02991139
ENSG00000187021	PNLIPRP1	protein_coding	pancreatic lipase-related protein 1 [Source:HGNC Symbol;Acc:9156]	10	118349897	118368687	1	18790	6.158101495	-0.046065839	12.67305798	3.07627E-21	6.17749E-18	37.41525408
ENSG00000142789	CELA3A	protein_coding	chymotrypsin-like elastase family. member 3A [Source:HGNC Symbol;Acc:15944]	1	22328149	22339032	1	10883	7.58044897	1.20454382	12.39982668	1.04956E-20	1.89688E-17	36.39113698
ENSG00000204787	REG1P	pseudogene	regenerating islet-derived 1 pseudogene [Source:HGNC Symbol;Acc:9953]	2	79362629	79365553	-1	2924	5.987276088	-3.882578546	12.90667027	1.02311E-21	2.64152E-18	35.41206093
ENSG00000170835	CEL	protein_coding	carboxyl ester lipase (bile salt-stimulated lipase) [Source:HGNC Symbol;Acc:1848]	9	135937365	135947248	1	9883	7.613117905	2.97592637	11.84055199	1.26452E-19	2.07761E-16	34.04937984
ENSG00000162438	CTRC	protein_coding	chymotrypsin C (caldecrin) [Source:HGNC Symbol;Acc:2523]	1	15764935	15775737	1	10802	5.825264062	1.367583268	11.63880224	3.11259E-19	4.68781E-16	33.19812024
ENSG00000143954	REG3G	protein_coding	regenerating islet-derived 3 gamma [Source:HGNC Symbol;Acc:29595]	2	79252812	79255631	1	2819	7.820214464	-1.315431697	11.07291655	4.02933E-18	4.8548E-15	30.20276266
ENSG00000114204	SERPINI2	protein_coding	serpin peptidase inhibitor. clade I (pancpin). member 2 [Source:HGNC Symbol;Acc:8945]	3	167159577	167196792	-1	37215	6.560976947	-2.16119601	10.99281669	5.68789E-18	6.42483E-15	29.52207056
ENSG00000103375	AQP8	protein_coding	aquaporin 8 [Source:HGNC Symbol;Acc:642]	16	25227052	25240261	1	13209	5.514796162	-3.62312689	11.27711615	1.48389E-18	2.06295E-15	29.43667734
ENSG00000240338	RP11-331F4.4	pseudogene	None	16	75259972	75262093	1	2121	5.910533152	-3.399206271	11.14028854	2.76648E-18	3.57133E-15	29.1890223
ENSG00000170890	PLA2G1B	protein_coding	phospholipase A2. group IB (pancreas) [Source:HGNC Symbol;Acc:9030]	12	120759914	120765592	-1	5678	6.854996851	-0.570542919	10.67114886	2.52663E-17	2.6861E-14	28.6974413
ENSG00000124232	RBPJL	protein_coding	recombination signal binding protein for immunoglobulin kappa J region-like [Source:HGNC Symbol;Acc:13761]	20	43935491	43945803	1	10312	6.056793447	-3.879584305	10.62857629	2.88003E-17	2.89171E-14	26.77071947
ENSG00000141086	CTRL	protein_coding	chymotrypsin-like [Source:HGNC Symbol;Acc:2524]	16	67961543	67966317	-1	4774	5.116995731	-1.714794796	9.305430182	1.35178E-14	1.28583E-11	22.41396938
ENSG00000179751	SYCN	protein_coding	syncollin [Source:HGNC Symbol;Acc:18442]	19	39693471	39694906	-1	1435	6.756052479	-3.139506467	9.185126824	2.39227E-14	2.16177E-11	21.39054338
